episode_num,timestep,episode_reward,episode_length
0,399,0,400
1,799,0,400
2,1199,0,400
3,1599,0,400
4,1999,0,400
5,2399,0,400
6,2799,0,400
7,3199,0,400
8,3599,0,400
9,3999,0,400
10,4399,0,400
11,4799,0,400
12,5199,0,400
13,5599,0,400
14,5999,0,400
15,6399,0,400
16,6799,0,400
17,7199,0,400
18,7599,0,400
19,7999,0,400
20,8399,0,400
21,8799,0,400
22,9199,0,400
23,9599,0,400
24,9999,0,400
25,10399,0,400
26,10799,0,400
27,11199,0,400
28,11599,0,400
29,11999,0,400
30,12399,0,400
31,12799,0,400
32,13199,0,400
33,13599,0,400
34,13999,0,400
35,14399,0,400
36,14799,0,400
37,15199,0,400
38,15599,0,400
39,15999,0,400
40,16399,0,400
41,16799,0,400
42,17199,0,400
43,17599,0,400
44,17999,0,400
45,18399,0,400
46,18799,0,400
47,19199,0,400
48,19599,0,400
49,19999,0,400
